time,r,Ge,G,P,Q,N
0.0,0.0,4.5,4.5,1.0,0.0,0.0
0.0,0.0005263157894736842,4.5,4.5,1.0,0.0,0.0
0.0,0.0010526315789473684,4.5,4.5,1.0,0.0,0.0
0.0,0.0015789473684210526,4.5,4.5,1.0,0.0,0.0
0.0,0.002105263157894737,4.5,4.5,1.0,0.0,0.0
0.0,0.002631578947368421,4.5,4.5,1.0,0.0,0.0
0.0,0.003157894736842105,4.5,4.5,1.0,0.0,0.0
0.0,0.0036842105263157894,4.5,4.5,1.0,0.0,0.0
0.0,0.004210526315789474,4.5,4.5,1.0,0.0,0.0
0.0,0.004736842105263157,4.5,4.5,1.0,0.0,0.0
0.0,0.005263157894736842,4.5,4.5,1.0,0.0,0.0
0.0,0.005789473684210527,4.5,4.5,1.0,0.0,0.0
0.0,0.00631578947368421,4.5,4.5,1.0,0.0,0.0
0.0,0.006842105263157894,4.5,4.5,1.0,0.0,0.0
0.0,0.007368421052631579,4.5,4.5,0.9999999999999999,0.0,0.0
0.0,0.007894736842105263,4.5,4.5,1.0,0.0,0.0
0.0,0.008421052631578947,4.5,4.5,1.0,0.0,0.0
0.0,0.008947368421052631,4.5,4.5,1.0,0.0,0.0
0.0,0.009473684210526315,4.5,4.5,1.0,0.0,0.0
0.0,0.01,4.5,4.5,0.9999999999999999,0.0,0.0
2.2550335570469797,0.0,4.499667017984725,4.473296158342305,1.0449288653579327,2.1642942080528586e-11,9.3184430780138e-32
2.2550335570469797,0.0005263157894736842,4.499667017984725,4.473356255001043,1.0449288779622927,2.163874114147217e-11,9.311802321741912e-32
2.2550335570469797,0.0010526315789473684,4.499667017984725,4.473536963280486,1.0449289158973045,2.162610481718169e-11,9.291856090273332e-32
2.2550335570469797,0.0015789473684210526,4.499667017984725,4.473839813188507,1.0449289796122805,2.1604905574541032e-11,9.258496184636356e-32
2.2550335570469797,0.002105263157894737,4.499667017984725,4.474267291593828,1.0449290698468463,2.1574934928848788e-11,9.211552612013631e-32
2.2550335570469797,0.002631578947368421,4.499667017984725,4.474822843966024,1.044929187645796,2.1535900180355096e-11,9.150796087572708e-32
2.2550335570469797,0.003157894736842105,4.499667017984725,4.475510834658978,1.044929334368238,2.1487423690621908e-11,9.075947019383805e-32
2.2550335570469797,0.0036842105263157894,4.499667017984725,4.476336490935082,1.0449295116991104,2.1429042091669952e-11,8.986687388935586e-32
2.2550335570469797,0.004210526315789474,4.499667017984725,4.477305827445314,1.0449297216628477,2.136020553304445e-11,8.882675639711697e-32
2.2550335570469797,0.004736842105263157,4.499667017984725,4.4784255477392705,1.044929966638932,2.1280277096145437e-11,8.763564547205391e-32
2.2550335570469797,0.005263157894736842,4.499667017984725,4.4797029198063205,1.0449302493789694,2.1188532530628032e-11,8.629021794003517e-32
2.2550335570469797,0.005789473684210527,4.499667017984725,4.481145623951173,1.0449305730248721,2.1084160495667678e-11,8.478752602101482e-32
2.2550335570469797,0.00631578947368421,4.499667017984725,4.482761573875651,1.04493094112761,2.0966263521383134e-11,8.312523307618949e-32
2.2550335570469797,0.006842105263157894,4.499667017984725,4.484558716092641,1.0449313576659442,2.0833859944797045e-11,8.130184305190705e-32
2.2550335570469797,0.007368421052631579,4.499667017984725,4.486544819000834,1.044931827064459,2.0685887119543327e-11,7.931690576692826e-32
2.2550335570469797,0.007894736842105263,4.499667017984725,4.48872727076568,1.0449323542102087,2.0521206236291007e-11,7.717118452636931e-32
2.2550335570469797,0.008421052631578947,4.499667017984725,4.491112912763576,1.0449329444672812,2.03386090763911e-11,7.486678804815655e-32
2.2550335570469797,0.008947368421052631,4.499667017984725,4.493707938038366,1.0449336036887555,2.0136826851555884e-11,7.240729605228469e-32
2.2550335570469797,0.009473684210526315,4.499667017984725,4.496517873229637,1.0449343382258123,1.9914540840882384e-11,6.979793191757749e-32
2.2550335570469797,0.01,4.499667017984725,4.499547628150055,1.044935154934375,1.967039405155109e-11,6.704581224487688e-32
4.510067114093959,0.0,4.4992274289290535,4.464960533355137,1.0919020384453721,4.5694789957624945e-11,3.649878469409887e-31
4.510067114093959,0.0005263157894736842,4.4992274289290535,4.465052632377111,1.091902079602923,4.5680997894503115e-11,3.6461291964398494e-31
4.510067114093959,0.0010526315789473684,4.4992274289290535,4.465329045371255,1.0919022032648935,4.56395889476682e-11,3.634892833876086e-31
4.510067114093959,0.0015789473684210526,4.4992274289290535,4.465790192842742,1.0919024101308281,4.557042296709415e-11,3.6161948724122768e-31
4.510067114093959,0.002105263157894737,4.4992274289290535,4.46643674303017,1.0919027013454248,4.547327494240218e-11,3.5900800939898507e-31
4.510067114093959,0.002631578947368421,4.4992274289290535,4.467269590799051,1.0919030785126316,4.5347833058454695e-11,3.556612816441758e-31
4.510067114093959,0.003157894736842105,4.4992274289290535,4.468289817745151,1.091903543696846,4.5193701921794034e-11,3.5158784846925025e-31
